lote,total_lotes,filas,num_comprobante,id_nota,respuesta_code,respuesta_message
1,7,50,I400-00000110,202,1,Nota y detalle insertados correctamente
2,7,50,I400-00000111,203,1,Nota y detalle insertados correctamente
3,7,50,I400-00000112,204,1,Nota y detalle insertados correctamente
4,7,50,I400-00000113,205,1,Nota y detalle insertados correctamente
5,7,50,I400-00000114,206,1,Nota y detalle insertados correctamente
6,7,50,I400-00000115,207,1,Nota y detalle insertados correctamente
7,7,50,I400-00000116,208,1,Nota y detalle insertados correctamente
