lote,total_lotes,filas,num_comprobante,id_nota,respuesta_code,respuesta_message
1,7,50,I400-00000103,195,1,Nota y detalle insertados correctamente
2,7,50,I400-00000104,196,1,Nota y detalle insertados correctamente
3,7,50,I400-00000105,197,1,Nota y detalle insertados correctamente
4,7,50,I400-00000106,198,1,Nota y detalle insertados correctamente
5,7,50,I400-00000107,199,1,Nota y detalle insertados correctamente
6,7,50,I400-00000108,200,1,Nota y detalle insertados correctamente
7,7,50,I400-00000109,201,1,Nota y detalle insertados correctamente
