lote,total_lotes,filas,num_comprobante,id_nota,respuesta_code,respuesta_message
1,7,50,I400-00000117,209,1,Nota y detalle insertados correctamente
2,7,50,I400-00000118,210,1,Nota y detalle insertados correctamente
3,7,50,I400-00000119,211,1,Nota y detalle insertados correctamente
4,7,50,I400-00000120,212,1,Nota y detalle insertados correctamente
5,7,50,I400-00000121,213,1,Nota y detalle insertados correctamente
6,7,50,I400-00000122,214,1,Nota y detalle insertados correctamente
7,7,50,I400-00000123,215,1,Nota y detalle insertados correctamente
