lote,total_lotes,filas,num_comprobante,id_nota,respuesta_code,respuesta_message
1,7,50,I400-00000096,188,1,Nota y detalle insertados correctamente
2,7,50,I400-00000097,189,1,Nota y detalle insertados correctamente
3,7,50,I400-00000098,190,1,Nota y detalle insertados correctamente
4,7,50,I400-00000099,191,1,Nota y detalle insertados correctamente
5,7,50,I400-00000100,192,1,Nota y detalle insertados correctamente
6,7,50,I400-00000101,193,1,Nota y detalle insertados correctamente
7,7,50,I400-00000102,194,1,Nota y detalle insertados correctamente
